Q,A,label,,,,
커피 좋아하면 들을 만한 교양 있어?,"문화카페기행 괜찮아. 카페 문화의 변화, 공간 철학 같은 내용을 다뤄서 커피 좋아하는 사람도 흥미롭게 들을 수 있어.",1,,,,
감성적인 교양 추천해줘!,"문화카페기행은 감성 좋아하는 사람한테 정말 맞아. 공간 분위기, 문화적 의미 같은 걸 부드럽게 배울 수 있어.",1,,,,
문화나 공간 관련 수업 듣고 싶은데 추천해줄 거 있어?,문화카페기행 추천할게! 카페라는 공간을 통해 문화·사회·감성을 배우는 흥미로운 교양이야.,1,,,,
여행 갈 때 카페 탐방하는 거 좋아하는데 그런 감성 수업 있어?,그럼 무조건 문화카페기행이지! 다양한 지역 카페들을 문화적으로 해석하는 수업이라 네 취향이랑 잘 맞아.,1,,,,
나는 카페 인테리어나 분위기 보는 게 좋던데 관련 과목 있어?,문화카페기행 추천해! 카페 공간이 어떻게 만들어지고 어떤 문화를 담고 있는지 배울 수 있어서 되게 흥미로워.,1,,,,
문화카페기행 수업 난이도는 어때?,강의가 전부 온라인 영상이라 어렵지 않아. 내용도 편하게 들을 수 있어서 부담이 적은 편이야.,1,,,,
문화카페기행은 팀플 있어?,팀플 없어! 개인 온라인 학습 위주라 혼자서 편하게 들을 수 있는 과목이야.,1,,,,
문화카페기행 듣는 사람 많은 편이야?,카페나 여행 좋아하는 사람이 많아서 수강 신청하면 꽤 인기 있는 편이야.,1,,,,
문화카페기행 수업은 어떤 느낌이야?,카페 문화와 공간 이야기를 가볍게 배우는 감성 교양 수업이야. 온라인이라 편하게 들을 수 있어.,1,,,,
커피를 좋아하는데 교양 추천,"문화카페기행 괜찮아. 카페 문화의 변화, 공간 철학 같은 내용을 다뤄서 커피 좋아하는 사람도 흥미롭게 들을 수 있어.",1,,,,
카페를 좋아하는데 교양 추천,"문화카페기행 괜찮아. 카페 문화의 변화, 공간 철학 같은 내용을 다뤄서 커피 좋아하는 사람도 흥미롭게 들을 수 있어.",1,,,,
책 좋아하는사람 교양 추천,독서지도의 이해(교류) 수업을 들어봐. 텍스트와 독자의 상호작용을 배우는 흥미로운 교양이야.,1,,,,
독서지도의 이해 수업 온라인이야?,"응, 충남 이러닝으로 진행되는 완전 온라인 수업이야. 시간 맞춰 접속해서 들으면 되고 접근성도 좋아.",1,,,,
독서지도의 이해 싸강이야?,"응, 충남 이러닝으로 진행되는 완전 온라인 수업이야. 시간 맞춰 접속해서 들으면 되고 접근성도 좋아.",1,,,,
독서지도의 이해 온라인이야?,"응, 충남 이러닝으로 진행되는 완전 온라인 수업이야. 시간 맞춰 접속해서 들으면 되고 접근성도 좋아.",1,,,,
문화카페기행 수업 과제 있어?,있어.. 보통 간단한 활동이나 소감 작성 정도라 크게 부담되지 않아.,1,,,,
문화카페기행 수업 시험 어려워?,온라인 중간·기말시험이 있어. 난이도는 어렵지 않은 편이라 강의만 보면 충분히 해결 가능해.,1,,,,
독서지도의 이해 수업 몇 학점이야?,3학점이야,0,,,,
독서지도의 이해 학점 몇이야?,3학점이야,0,,,,
문화카페기행 몇학점이야?,3학점이야,1,,,,
문화카페기행 수업 몇학점이야?,3학점이야,1,,,,
문화카페기행 학점 몇이야?,3학점이야,1,,,,
미래사회와 과학기술 온라인 수업이야?,완전 온라인(사이버) 강의야. 동영상 강의만 잘 챙겨 들으면서 과제·프로젝트만 제출하면 되는 형식이라 출석 때문에 학교 갈 일은 없어.,2,,,,
미래사회와 과학기술 프로젝트 있어?,"있어. 이 과목의 핵심이 프로젝트/레포트야. 보통 한 주제를 정해서 4주차·8주차 등 일정 주기에 맞춰 총 4번 나눠서 결과물을 제출하는 형식이라, 한 학기 동안 같은 프로젝트를 단계별로 완성해 나가는 느낌이야. 내용은 어렵지 않고 “조금만 신경 쓰면 할 만하다”는 후기가 많아.",2,,,,
미래사회와 과학기술 중간고사 있어?,"필기 중간고사는 없고, 프로젝트가 중간고사 대체라고 보면 돼. 중간 시점까지 진행한 내용으로 레포트/프로젝트를 제출하는 구조라 시험 공부보다는 글 쓰는 데 시간을 쓰게 될 거야.",2,,,,
미래사회와 과학기술 기말고사 있어?,"기말고사는 있어. 사이버캠퍼스에서 치는 논술형/서술형 시험이고, 평소 강의·토론에서 다룬 주제와 비슷한 문제가 나와. 시험 전에 어떤 범위·형식으로 낼지 미리 알려줘서 준비하기 어렵지 않다는 후기가 많아.",2,,,,
미래사회와 과학기술 과제 있어?,"프로젝트 4번 말고는 따로 매주 나오는 과제는 거의 없다는 느낌이야. 그래서 “그 4번만 조금 신경 쓰면 되고, 나머지는 강의만 들으면 된다”는 말이 나올 정도로 다른 완싸에 비해 과제량은 적은 편이야.",2,,,,
미래사회와 과학기술 과제 어려워?,"난이도 자체는 쉽고 ‘시간이 좀 드는’ 편이야. 미래사회·과학기술 관련 주제 찾아보고 정리해서 레포트 형식으로 쓰는 거라, 생각 정리만 잘하면 누구나 할 수 있고, 끝나고 나면 “프로젝트 하면서 공부가 저절로 됐다”는 평이 많아.",2,,,,
미래사회와 과학기술 교수님 어때?,"열정적이고 학생 배려 많이 해주는 스타일이라는 후기가 많아. 과제 마감 전에 여러 번 공지해 주고, 기말 논술 주제도 미리 알려줘서 부담을 줄여 주는 편이라 “완싸 중에서도 제일 좋았다”는 말이 나올 정도야",2,,,,
미래사회와 과학기술 퀴즈 있어?,"정기적으로 보는 퀴즈는 거의 없고, 평가 비중은 프로젝트와 기말시험에 실려 있어. 동영상만 잘 듣고 프로젝트·시험 준비만 해도 충분히 커버 가능한 구조야.",2,,,,
미래사회와 과학기술  수업 난이도는?,"전반적으로 ‘쉬운 편~보통’ 정도. 내용 자체도 이해하기 어렵지 않고, 시험도 강의·프로젝트에서 다룬 내용을 바탕으로 논술식으로 쓰는 거라, 강의만 꾸준히 듣고 프로젝트 성실히 하면 학점 받기 수월하다는 평이 많아.",2,,,,
미래사회와 과학기술 팀플 있어?,"팀플은 없고, 프로젝트도 개인으로 하는 과제야. 조 모임이나 발표 스트레스 없이 혼자 페이스대로 진행하면 되는 과목이라 혼강용·완싸용으로 많이 추천돼.",2,,,,
미래사회와 과학기술 시험 어떻게 나와?,"중간은 프로젝트/레포트로 대체되고, 기말만 온라인 필기시험이 있어. 객관식보다는 논술·서술 위주로, 평소 사이버강의에서 토론으로 제출하던 주제와 비슷한 문제들이 나와. 시험 전에 출제 범위와 문제 유형을 미리 알려줘서, 그 부분만 정리해 가면 어렵지 않게 높은 점수 받을 수 있다는 후기가 많아.",2,,,,
박명옥 교수님의 정신건강의 이해 온라인 수업이야?,"오프라인 수업이야! 전부 대면으로 진행됐고, 교수님이 직접 설명을 풀강으로 해주신다는 말이 많아.",3,,,,
박명옥 교수님의 정신건강의 이해 프로젝트 있어?,"프로젝트(팀 발표 같은 거)는 따로 없고, 그냥 개인 과제만 가끔 나와.",3,,,,
박명옥 교수님의 정신건강의 이해 중간고사 있어?,있어. 중간에 한 번 객관식 필기시험 봐.,3,,,,
박명옥 교수님의 정신건강의 이해 기말고사 있어?,있어. 기말도 객관식으로 한 번 더 봐서 중간+기말 두 번 시험 보는 구조야.,3,,,,
박명옥 교수님의 정신건강의 이해 과제 있어?,"많지는 않고, 가끔 한두 번 나오는 정도야. 어떤 학기에는 한 번만 내기도 했다는 후기도 있어.",3,,,,
박명옥 교수님의 정신건강의 이해  과제 어려워?,내용은 쉽고 분량도 적은 편이라 20분 안에 끝났다는 말이 많아. 대체로 금방 할 수 있는 수준.,3,,,,
박명옥 교수님의 정신건강의 이해  교수님 어때?,"어려운 주제인데도 교양 수준에 맞춰 쉽게 설명해 주시고, 학생들 입장에서 강도를 조절해 주시는 편이라는 평이 많아. 정신건강에 관심 있으면 재밌게 들을 수 있는 스타일.",3,,,,
박명옥 교수님의 정신건강의 이해 퀴즈 있어?,"별도로 자주 보는 퀴즈 얘기는 없고, 평가는 주로 과제랑 중간·기말 객관식 시험으로 이뤄지는 편이야.",3,,,,
박명옥 교수님의 정신건강의 이해 수업 난이도는?,주제는 무거운데 설명을 쉽게 해 줘서 전공 상관없이 따라가기 어렵지 않은 편. 너무 깊게 파고들지는 않아서 ‘무난~조금 쉬운’ 정도라는 후기가 많아.,3,,,,
박명옥 교수님의 정신건강의 이해 팀플 있어?,없어. 조별과제/팀플 없이 개인 과제만 있어서 혼자 듣기 편한 수업이야.,3,,,,
박명옥 교수님의 정신건강의 이해 시험 어떻게 나와?,"중간·기말 둘 다 객관식으로 나오고, 교수님 PPT·강의록 위주라 그거 한두 번만 정리해도 무난하게 풀 수 있다는 평이 많아. 아주 쉽다기보단 ‘공부만 조금 하면 충분히 점수 나오는’ 정도야.",3,,,,
수요일 6 교양 뭐 있어?,박명옥 교수님의 정신건강의 이해 수업이 있어,3,,,,
수요일 6 교양 알려줘,박명옥 교수님의 정신건강의 이해 수업이 있어,3,,,,
한미현 교수님의 정신건강의 이해 온라인 수업이야?,"대면(오프라인) 수업이고, 시험만 온라인으로 보는 편이야",4,,,,
한미현 교수님의 정신건강의 이해 프로젝트 있어?,"별도의 큰 프로젝트는 없고, 조모임·발표 위주의 팀 활동이 한 번 있어",4,,,,
한미현 교수님의 정신건강의 이해 중간고사 있어?,"있어, 중간·기말 두 번 다 시험 봐",4,,,,
한미현 교수님의 정신건강의 이해 기말고사 있어?,"있어, 중간처럼 온라인 시험으로 진행돼",4,,,,
한미현 교수님의 정신건강의 이해 과제 있어?,팀플이랑 가끔 나오는 과제 정도라서 “많다” 수준은 아니야,4,,,,
한미현 교수님의 정신건강의 이해 과제 어려워?,"내용은 조금 무겁지만, 과제 자체는 크게 어렵지 않고 성실히만 하면 할 만하다는 평이 많아",4,,,,
한미현 교수님의 정신건강의 이해 교수님 어때?,"수업은 풀강이라 빡세지만 학생 편의를 많이 봐주고 배려해 주시는 편이야, 다만 지루하다고 느끼는 사람도 있어",4,,,,
한미현 교수님의 정신건강의 이해 퀴즈 있어?,매주 보는 퀴즈보다는 시험·팀플 위주라 자잘한 퀴즈 부담은 거의 없어,4,,,,
한미현 교수님의 정신건강의 이해 수업 난이도는?,"내용은 약간 대학원 느낌이라 이해하기 어렵다는 말이 있고, 시험·과제 난이도는 중간 정도야",4,,,,
한미현 교수님의 정신건강의 이해 팀플 있어?,"있어, 조별로 진행하는 팀플/조모임이 한 번 있어서 팀운이 조금 중요해",4,,,,
한미현 교수님의 정신건강의 이해 시험 어떻게 나와?,"중간·기말 둘 다 온라인 시험이고, 강의·자료 중심 이론 문제 위주라 공부만 해 가면 크게 어렵지 않게 풀 수 있는 편이야",4,,,,
"월요일 7,8 교양 뭐 있어?",한미현 교수님의 정신건강의 이해 수업 / 문성채 교수님의 생명의 신비 수업 / 박재서 교수님의 현대생활과 체육 수업 / 김동현 교수님의 골프의이론과실제 수업 / 유준석 교수님의 정치와 미디어 커뮤니케이션 수업이 있어,200,,,,
"월요일 7,8 교양 알려줘",한미현 교수님의 정신건강의 이해 수업 / 문성채 교수님의 생명의 신비 수업 / 박재서 교수님의 현대생활과 체육 수업 / 김동현 교수님의 골프의이론과실제 수업 / 유준석 교수님의 정치와 미디어 커뮤니케이션 수업이 있어,200,,,,
결혼과 가족 온라인 수업이야?,온라인(사이버) 완싸 수업이야. 부설교육원에서 하는 사이버 강의야,5,,,,
결혼과 가족 프로젝트 있어?,"팀 프로젝트 같은 건 없고, 토론글/레포트 형태의 과제만 있어. 따로 발표 준비하거나 큰 프로젝트 할 일은 거의 없어.",5,,,,
결혼과 가족 중간고사 있어?,"있어. 사이버 시험으로 중간 한 번 보고, 정해진 기간 안에 온라인으로 응시하면 돼.",5,,,,
결혼과 가족 기말고사 있어?,기말고사도 있어. 마찬가지로 온라인 시험이라 집에서 PPT 보면서 풀 수 있다는 후기가 많아.,5,,,,
결혼과 가족 과제 있어?,중간·기말 외에 토론/과제 몇 번 나오는 정도라 ‘엄청 많다’ 수준은 아니야. 프로젝트형 과제보단 짧은 글 쓰기 위주라 부담은 비교적 적은 편.,5,,,,
결혼과 가족  과제 어려워?,"내용은 결혼·가족 + 기독교 관점이라 조금 지루할 수 있지만, 과제 자체는 간단해서 어렵지 않다는 평가가 많아. 정해진 주제에 대해 본인 생각 적는 정도라 시간만 들이면 충분히 할 만해.",5,,,,
결혼과 가족  교수님 어때?,설명은 차분하고 과제·시험도 크게 빡세게 내지는 않아서 학점은 하는 만큼 나오는 편이야. 다만 결혼 이야기보다는 기독교적인 내용이 꽤 섞여 있어서 그 부분은 호불호가 좀 갈려.,5,,,,
결혼과 가족 퀴즈 있어?,"매주 보는 퀴즈보다는, 토론글/과제 + 중간·기말 시험으로 평가하는 구조라 쪽지퀴즈 부담은 거의 없어.",5,,,,
결혼과 가족 수업 난이도는?,"내용은 재미없게 느끼는 사람도 있지만, 완싸이고 시험·과제가 쉬운 편이라 전체 난이도는 낮은 편이야. 통학러들이 “3학점 꿀사강”으로 많이 추천하는 과목.",5,,,,
결혼과 가족 팀플 있어?,"팀플은 없고, 과제·토론도 대부분 개인 단위로 처리해서 팀운 스트레스는 없어.",5,,,,
결혼과 가족 시험 어떻게 나와?,"중간·기말 둘 다 사이버시험이고, 강의 PPT·강의록에서 그대로 나오는 객관식/단답형 위주라 PPT 보면서 풀어도 될 정도로 쉽다는 후기가 많아. 절대평가라 90점대만 맞으면 A 구간이라, 기본만 준비해도 A+ 노릴 만한 구조야.",5,,,,
AI 시대의 심리학 온라인 수업이야?,주로 오프라인 실강이야. 강의실에서 토론·활동 많이 하는 형태라 온라인 완싸 느낌은 전혀 아니야.,6,,,,
AI 시대의 심리학 프로젝트 있어?,"정식 ‘장기 프로젝트’라기보단 조별 활동·발표가 계속 있는 수업이야. 조모임 자주 하고, 팀별로 의견 정리해서 나와서 발표하는 식이라 체감상 프로젝트 수업처럼 느껴질 수 있어.",6,,,,
AI 시대의 심리학 중간고사 있어?,"필기 시험 형태의 중간고사는 없고, 중간 평가를 레포트로 대체해. 매 강의 후 “오늘 무엇을 배웠는지” 요약 레포트 제출 OTT에 있는 영화 한 편 보고 심리·AI 관점에서 리뷰 작성 이런 식으로 점수를 받는 구조야.",6,,,,
AI 시대의 심리학 기말고사 있어?,"기말도 시험 대신 레포트·북리뷰로 평가해. 매 강의 요약 레포트 계속 제출 별도로 지정된 책을 읽고 북리뷰 작성(이북/실물 따로 사야 하고, 줄거리 정보도 거의 없는 책이라 꽤 빡세다는 후기가 많아)",6,,,,
AI 시대의 심리학 과제 있어?,"‘매 강의 요약 레포트’가 기본으로 깔려 있고

중간 영화 리뷰 + 기말 북리뷰

조별 모임·발표까지 있어서 한 학기 내내 할 일이 계속 있다는 느낌이야.",6,,,,
AI 시대의 심리학  과제 어려워?,"난이도 자체가 엄청 높다기보다는, ‘양’과 ‘내용’이 빡센 편이야.

영화·책을 심리/AI/인간에 대한 관점으로 분석해야 해서 생각 정리가 필요하고

북리뷰용 책이 내용도 어렵고 정보도 적어서 읽기가 힘들었다는 후기가 많아.
“귀찮고 머리 많이 쓰이는 과제” 쪽에 가까워.",6,,,,
AI 시대의 심리학  교수님 어때?,"엄청 똑똑하고 자기 철학이 강한 스타일이라는 평가가 많아.

깊은 질문 던지고 학생 의견을 계속 끌어내려고 해서, 깊게 생각하는 거 좋아하면 재밌을 수 있고

반대로 “말에 두서가 없다”, “본인 세계와 종교(기승전 하나님) 이야기가 많다”, “무슨 말을 하고 싶은지 모르겠다”는 불만도 많아.
전체적으로 열정은 강하지만 호불호가 극단적으로 갈리는 스타일이라고 보면 돼.",6,,,,
AI 시대의 심리학 퀴즈 있어?,"객관식 퀴즈 같은 건 거의 없고, 대신 매주 질문·토론·발표가 퀴즈 역할을 해.
교수님이 질문 던지고, 조별·개인별로 답하거나 발표하는 식이라 “시험 대신 계속 말하고 쓰는 수업”에 가깝다 보면 돼.",6,,,,
AI 시대의 심리학 수업 난이도는?,내용·방식 모두 체감 난도 높은 편이야.,6,,,,
AI 시대의 심리학 팀플 있어?,"조모임 꽤 자주 하고, 조별로 의견 정리해서 발표하는 시간이 반복돼. 사람 많은 조에서 말하는 거 부담스럽다면 꽤 힘들 수 있다는 후기도 있어.",6,,,,
AI 시대의 심리학 시험 어떻게 나와?,"중간: 매 강의 요약 레포트 + 영화 감상/리뷰

기말: 매 강의 요약 레포트 + 지정 도서 북리뷰

수업 참여, 조별 활동/발",6,,,,
"수요일 1,2 교양 뭐 있어?",임헌만 교수님의 AI 시대의 심리학 수업 / 이승준 교수님의 세계문화사 수업 / 곽안나 교수님의 음악으로 세상읽기 수업 / 김휘태 교수님의 배드민턴의 이해와 실제 수업이 있어,201,,,,
"수요일 1,2 교양 알려줘",임헌만 교수님의 AI 시대의 심리학 수업 / 이승준 교수님의 세계문화사 수업 / 곽안나 교수님의 음악으로 세상읽기 수업 / 김휘태 교수님의 배드민턴의 이해와 실제 수업이 있어,201,,,,
성경 속 명장면 프로덕션 온라인 수업이야?,"오프라인(대면) 교양 수업이야. 보통 강의실에서 같이 듣고, 조별로 모여 토의하는 시간이 있어서 온라인 완싸 수업 느낌은 아니야.",7,,,,
성경 속 명장면 프로덕션 프로젝트 있어?,"있어. 필기 레포트보다는

수업 중에 조별로 모여 특정 성경 장면·주제에 대해 토의하고 정리하는 활동이 있고

학기 말에 성경 내용을 바탕으로 5분 내외 영상(프로덕션) 을 만들어 제출하는 과제가 있어.
영상 과제가 사실상 프로젝트라 보면 돼.",7,,,,
성경 속 명장면 프로덕션 중간고사 있어?,"학기마다 조금 다른데, 전통적인 필기 중간고사보다는 ‘중간 보고’나 과제로 대체되는 편이 많다는 후기야.
어떤 학기에는 성경 사건·인물 정리 위주의 중간고사 대신 보고/발표 형식으로 넘어가고, 객관식 필기시험은 주로 기말에 한 번 보는 경우가 많아.",7,,,,
성경 속 명장면 프로덕션 기말고사 있어?,"기말 필기시험: 객관식 40문항 정도, 전부 성경 내용·수업에서 다룬 장면 중심으로 나옴.

+ 영상 과제: 기말 이후(또는 시험과 병행)로 성경 관련 5분 분량 영상 만들어 제출.
즉, 시험 + 영상 과제 조합이라고 보면 돼.",7,,,,
성경 속 명장면 프로덕션 과제 있어?,"양이 엄청 많진 않고, ‘영상 + 조별 토의’가 핵심이라 다른 글쓰기 위주의 교양보다 조금 가벼운 편이야.
평소에는 수업 듣고 조별로 토의·정리하는 정도고, 학기 말에 영상 제작 한 번이 메인 과제라서, 편집에 익숙하면 크게 부담은 아니라는 느낌.",7,,,,
성경 속 명장면 프로덕션  과제 어려워?,"내용 자체가 엄청 어렵다기보다는, ‘성경 내용을 이해해서 연출/영상으로 옮기는 게 낯설어서’ 어렵게 느껴질 수 있어.

기독교인이면 익숙한 이야기를 재구성하는 느낌이라 오히려 재미있다는 말도 있고

무교/타종교면 내용이 조금 낯설지만, 교수님이 사건·인물을 깔끔하게 정리해 줘서 따라가기 어렵진 않다는 후기도 있어.",7,,,,
성경 속 명장면 프로덕션 교수님 어때?,"학생들 평가는 되게 좋은 편이야.

성격이 친절하고, 학생들이랑 소통 많이 하려고 하고

이름도 하나하나 기억해 주려는 스타일이라 수업 분위기가 편안하다는 후기 많음.
기독교 교양이긴 하지만, 강요보다는 “이런 사건·인물이 있었다” 식으로 차분히 설명하는 편이라고 해.",7,,,,
성경 속 명장면 프로덕션 퀴즈 있어?,"정기적인 주차별 퀴즈보다는, 기말 객관식 시험이 메인 평가야.
수업 중에 질문하고 토의하는 시간은 있지만, 매주 온라인 퀴즈 치는 식은 아니라는 느낌.",7,,,,
성경 속 명장면 프로덕션 난이도는?,"난이도는 “보통~조금 쉬운 편” 정도.

성경 이야기를 사건·인물 위주로 정리해서 알려주고

시험도 객관식 위주라, 수업만 성실히 듣고 정리하면 풀 만하다는 평가가 많아.
다만 성경·기독교 문화에 아예 관심이 없으면 내용이 살짝 낯설어서 재미가 덜할 수는 있어",7,,,,
성경 속 명장면 프로덕션 팀플 있어?,"조별로 모여 특정 주제에 대해 토의하고 발표하는 활동이 있고

기말 영상도 보통 팀 단위로 만드는 경우가 많아서 팀운이 어느 정도 중요하긴 해. 그래도 난이도 높은 연구 프로젝트 수준은 아니라서, 분위기만 잘 맞으면 재밌게 할 수 있다는 후기가 많아.",7,,,,
성경 속 명장면 프로덕션 시험 어떻게 나와?,"기말에 객관식 중심으로 한 번 크게 본다고 생각하면 돼.

문항 수: 약 40문항, 모두 객관식

범위: 수업에서 다룬 성경 사건·인물, 교수님이 정리해 준 내용 위주

난이도: 수업·자료만 잘 보고 가면 충분히 풀 수 있는 수준

시험 끝난 뒤 성경 관련 5분 영상 과제까지 제출하면 전체 평가가 마무리되는 구조야.",7,,,,
"월요일 4,5 교양 뭐 있어?",문광헌 교수님의 문학의 이해 수업이 있어,10,,,,
"월요일 4,5 교양 알려줘",문광헌 교수님의 문학의 이해 수업이 있어,10,,,,
사랑의 심리학 온라인 수업이야?,"완전 온라인은 아니고, 대면 + 사이버가 섞인 수업이야. 어떤 학기에는 대면 1시간, 사강 1시간 형태로 진행돼서 강의 한 번, 온라인 강의 한 번을 함께 듣는 블렌디드 타입이라고 보면 돼.",8,,,,
사랑의 심리학 프로젝트 있어?,"큰 개별 프로젝트보다는, 조별 과제·발표가 사실상 프로젝트 역할을 해. 조를 짜서 사랑·관계 관련 주제를 정리하고 발표하는 PBL 형식이라, 팀플을 자주 준비해야 해.",8,,,,
사랑의 심리학 중간고사 있어?,"정식 필기 중간고사는 거의 없고, 그 대신 2주마다(또는 자주) 보는 쪽지시험과 조별발표가 중간고사 역할을 해. 그래서 시험 한 번으로 평가받기보다는, 학기 내내 쌓이는 퀴즈·활동 점수가 중요해.",8,,,,
사랑의 심리학 기말고사 있어?,"있어. 교수님이 미리 정리해 준 자료 중심으로 출제되고, 시험 전에 범위와 핵심을 알려주셔서 자료만 잘 보고 가면 크게 어렵지 않다는 편이야.",8,,,,
사랑의 심리학 과제 있어?,"많은 편이야. 매 강의/혹은 2주에 한 번 꼴로 요약 올리기, 조별발표 준비, 쪽지시험 대비까지 계속 할 일이 있어서 “하나 끝나면 또 할 거 생긴다”는 후기가 많아.",8,,,,
사랑의 심리학  과제 어려워?,"내용 자체는 어렵지 않지만, 양과 빈도가 많아서 체력·시간이 많이 드는 스타일이야. 요약 정리, 팀 발표 준비처럼 ‘꾸준히 챙겨야 하는’ 과제 위주라 귀찮은 거 싫어하면 힘들 수 있어.",8,,,,
